species,decimalLatitude,decimalLongitude,year,basisOfRecord,habitat,samplingProtocol,locality,occurrenceStatus,iucnRedListCategory
Puma concolor,3.537326,-72.440003,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puerto Castro, Hato Palmeras",PRESENT,LC
Puma concolor,4.029,-71.946,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Gabanes, Hacienda Gabanes",PRESENT,LC
Puma concolor,3.537326,-72.440003,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puerto Castro, Hato Palmeras",PRESENT,LC
Panthera onca,3.69696,-73.153653,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Brisas del Camoa, Hacienda Santa Teresa",PRESENT,NT
Puma concolor,3.531515,-73.402054,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Francisco, Hacienda Matarredonda",PRESENT,LC
Puma concolor,4.076992,-72.820701,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Yurimena, Finca Omar Hernandez",PRESENT,LC
Puma concolor,3.624423,-73.149157,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"El Consuelo, Hacienda Nazareth",PRESENT,LC
Puma concolor,3.934555,-72.337708,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Serranía, Hacienda Murujuy",PRESENT,LC
Puma concolor,3.810341,-72.608264,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Serranía, Hacienda Santa Rita",PRESENT,LC
Puma concolor,4.163745,-72.358803,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Leona, Hacienda Cachicamo",PRESENT,LC
Puma concolor,4.167199,-73.69354,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Buenavista, Hacienda Rosalinda",PRESENT,LC
Panthera onca,3.537326,-72.440003,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puerto Castro, Hato Palmeras",PRESENT,NT
Puma concolor,3.977191,-72.693092,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Yucao, Hacienda Almagro",PRESENT,LC
Panthera onca,3.570986,-73.457907,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Novilla, Hacienda Pampas",PRESENT,NT
Puma concolor,3.561544,-72.672695,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puerto Castro, Hacienda El Diamante",PRESENT,LC
Panthera onca,3.537326,-72.440003,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puerto Castro, Hato Palmeras",PRESENT,NT
Puma concolor,3.536348,-73.425311,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Francisco, Hacienda Rey Zamuro",PRESENT,LC
Puma concolor,3.91304,-72.661679,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Serranía, Hacienda La Esmeralda",PRESENT,LC
Puma concolor,4.15,-73.6,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,Vereda Santa Maria Alta,PRESENT,LC
Puma concolor,3.27006,-72.903524,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Brisas de Manacacias, Finca Tailandia",PRESENT,LC
Puma concolor,3.537326,-72.440003,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puerto Castro, Hato Palmeras",PRESENT,LC
Puma concolor,4.055088,-72.885436,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Navajas, Hacienda Villa Sonia",PRESENT,LC
Puma concolor,4.03722,-72.162993,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Serranía, Hacienda Mururito",PRESENT,LC
Panthera onca,4.017353,-72.945979,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Navajas, Santo Domingo",PRESENT,NT
Puma concolor,4.066542,-72.302238,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Leona, Hacienda Guaracu",PRESENT,LC
Puma concolor,3.857307,-72.726225,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Bodega, Caserio La Bodega",PRESENT,LC
Puma concolor,3.80518,-72.721431,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"El Tropezon, Finca Rubén Calderón",PRESENT,LC
Puma concolor,4.190973,-72.431705,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Sandrita, Hacienda Berali",PRESENT,LC
Puma concolor,3.775014,-72.513023,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"El Tropezon, Hacienda Calima",PRESENT,LC
Puma concolor,3.775014,-72.513023,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"El Tropezon, Hacienda Siribana",PRESENT,LC
Panthera onca,3.824689,-72.542453,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Melúa, Hacienda El Prado",PRESENT,NT
Puma concolor,4.05139,-72.899301,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Navajas, Hacienda Tierra Grata",PRESENT,LC
Puma concolor,4.020962,-72.943035,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Navajas, Rancho Chileno",PRESENT,LC
Puma concolor,4.119642,-72.688989,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Ema, Hacienda Caracoli",PRESENT,LC
Panthera onca,4.03722,-72.162993,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Serranía, Hacienda Mururito",PRESENT,NT
Panthera onca,4.15745,-73.699844,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Buenavista, Finca Marcos Garcia",PRESENT,NT
Puma concolor,3.585992,-73.340756,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Francisco, Hacienda La Guardiana",PRESENT,LC
Panthera onca,4.167199,-73.69354,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Buenavista, Hacienda Rosalinda",PRESENT,NT
Puma concolor,3.470651,-72.544368,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Siberia, Hacienda Mararay",PRESENT,LC
Puma concolor,3.503398,-73.369891,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Francisco, Hacienda Cambaos",PRESENT,LC
Puma concolor,3.507912,-73.355124,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Francisco, Hacienda Rancho Triste",PRESENT,LC
Puma concolor,3.924213,-72.506069,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Serranía, Hacienda Sorocaima",PRESENT,LC
Puma concolor,4.096175,-72.820388,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Yurimena, Finca Esperanza",PRESENT,LC
Panthera onca,3.531515,-73.402054,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Francisco, Hacienda Matarredonda",PRESENT,NT
Puma concolor,3.531515,-73.402054,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Francisco, Hacienda Matarredonda",PRESENT,LC
Panthera onca,3.531515,-73.402054,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Francisco, Hacienda Matarredonda",PRESENT,NT
Panthera onca,3.810341,-72.608264,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Serranía, Hacienda Santa Rita",PRESENT,NT
Puma concolor,3.531515,-73.402054,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Francisco, Hacienda Matarredonda",PRESENT,LC
Panthera onca,4.09235,-72.803689,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Yurimena, Hacienda Bufalito",PRESENT,NT
Puma concolor,3.512539,-72.798202,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puerto Castro, Hacienda La Palmita",PRESENT,LC
Puma concolor,3.452407,-72.511963,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Siberia, Hacienda Sibira",PRESENT,LC
Puma concolor,4.15745,-73.699844,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Buenavista, Finca Marcos Garcia",PRESENT,LC
Panthera onca,3.531515,-73.402054,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Francisco, Hacienda Matarredonda",PRESENT,NT
Puma concolor,3.994097,-72.846443,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"El Tropezon, Finca Buenos Aires",PRESENT,LC
Puma concolor,4.167054,-72.335192,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Leona, Hacienda San Jose",PRESENT,LC
Puma concolor,3.824689,-72.542453,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Melúa, Hacienda El Prado",PRESENT,LC
Puma concolor,3.745701,-72.429626,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"El Tropezon, Hacienda Lomalinda",PRESENT,LC
Puma concolor,4.167054,-72.335192,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Leona, Hacienda San Jose",PRESENT,LC
Puma concolor,3.755974,-72.477901,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"El Tropezon, Hacienda Canaguay",PRESENT,LC
Panthera onca,3.841915,-72.63201,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Melúa, Hacienda Las Camelias",PRESENT,NT
Puma concolor,3.824689,-72.542453,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Melúa, Hacienda El Prado",PRESENT,LC
Puma concolor,4.0204,-72.942496,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Navajas, Rancho Chileno",PRESENT,LC
Puma concolor,3.705405,-72.418407,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"El Tropezon, Hacienda EL Zorro",PRESENT,LC
Puma concolor,4.044013,-72.885411,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Navajas, La Veronica",PRESENT,LC
Puma concolor,3.820359,-72.977099,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Melúa, Hacienda La Voragine",PRESENT,LC
Puma concolor,4.017353,-72.945979,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Navajas, Santo Domingo",PRESENT,LC
Puma concolor,4.027546,-72.863109,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Navajas, Hacienda los avestruces",PRESENT,LC
Puma concolor,3.824689,-72.542453,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Melúa, Hacienda El Prado",PRESENT,LC
Puma concolor,4.135297,-72.289803,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Leona, Hacienda La Lorena",PRESENT,LC
Panthera onca,4.198196,-72.445877,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,Vereda Sandrita,PRESENT,NT
Puma concolor,4.007995,-72.913772,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Navajas, Santo Domingo",PRESENT,LC
Puma concolor,3.858002,-72.504239,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Melúa, Caño Los Cuatro",PRESENT,LC
Puma concolor,4.164615,-72.343652,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Leona, Hacienda Santa Ana",PRESENT,LC
Puma concolor,3.841915,-72.63201,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Melúa, Hacienda Las Camelias",PRESENT,LC
Puma concolor,3.714567,-72.417868,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"El Tropezon, Hacienda La Maravilla",PRESENT,LC
Panthera onca,4.190973,-72.431705,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Sandrita, Hacienda Berali",PRESENT,NT
Puma concolor,4.032437,-72.936596,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Navajas, Rancho Chileno",PRESENT,LC
Puma concolor,4.025083,-72.885802,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Navajas, Finca Las Acacias",PRESENT,LC
Panthera onca,3.899235,-71.931156,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Mururuy, Hacienda El Triunfo",PRESENT,NT
Panthera onca,3.621519,-73.900875,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,Vereda La Cima,PRESENT,NT
Panthera onca,3.634763,-71.761631,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,Puerto Mosco,PRESENT,NT
Puma concolor,4.114151,-71.989724,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,Vereda La Cristalina,PRESENT,LC
Puma concolor,4.633628,-71.562081,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puente Arimena, Hacienda La Estación",PRESENT,LC
Puma concolor,3.621519,-73.900875,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,Vereda La Cima,PRESENT,LC
Panthera onca,3.485469,-71.373363,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puerto trujillo, Puerto Trujillo",PRESENT,NT
Panthera onca,3.485469,-71.373363,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puerto trujillo, Puerto Trujillo",PRESENT,NT
Panthera onca,3.615064,-73.89639,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,Vereda La Cima,PRESENT,NT
Panthera onca,3.899235,-71.931156,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Mururuy, Hacienda El Triunfo",PRESENT,NT
Puma concolor,4.563219,-71.655472,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Pedro de Arimena, Hacienda San Sebastian",PRESENT,LC
Puma concolor,4.606237,-71.620804,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,San Pedro de Arimena,PRESENT,LC
Puma concolor,4.606237,-71.620804,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puente Arimena, Vereda San Pedro de Arimena",PRESENT,LC
Puma concolor,4.17334,-72.075761,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Villanueva, Finca Unillanos",PRESENT,LC
Puma concolor,3.686575,-72.282084,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"El Tigre, Finca Luis Martinez",PRESENT,LC
Panthera onca,3.634763,-71.761631,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,Puerto Mosco,PRESENT,NT
Panthera onca,4.563219,-71.655472,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Pedro de Arimena, Hacienda San Sebastian",PRESENT,NT
Puma concolor,4.633628,-71.562081,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puente Arimena, Hacienda La Estación",PRESENT,LC
Puma concolor,4.369577,-72.04922,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Neblinas, Hacienda Las Delicias",PRESENT,LC
Puma concolor,3.615064,-73.89639,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,Vereda La Cima,PRESENT,LC
Panthera onca,3.621519,-73.900875,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,Vereda La Cima,PRESENT,NT
Panthera onca,3.485469,-71.373363,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puerto trujillo, Puerto Trujillo",PRESENT,NT
Puma concolor,4.543956,-71.549171,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puente Arimena, Hacienda Guadalajara",PRESENT,LC
Puma concolor,4.476988,-71.711632,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"Puente Arimena, Hacienda EL Espejo",PRESENT,LC
Panthera onca,4.592994,-71.621656,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"San Pedro de Arimena, Hacienda Israel Bermúdez",PRESENT,NT
Puma concolor,3.570986,-73.457907,2011,HUMAN_OBSERVATION,"Bosques densos, morichales, sabanas inundables y asociado a ríos",Observación ad hoc,"La Novilla, Hacienda Pampas",PRESENT,LC
